round,loss,accuracy,precision,recall,f1,roc_auc
1,0.656793450692884,0.772972972972973,0.8488372093023255,0.7156862745098039,0.776595744680851,0.8384124734231042
2,0.6085636903639553,0.8162162162162162,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8755020080321285
3,0.5456595365530779,0.8432432432432433,0.8411214953271028,0.8823529411764706,0.861244019138756,0.8874320812662415
4,0.4827796089324821,0.8378378378378378,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.8945192534845263
5,0.44196801338471525,0.8432432432432433,0.8348623853211009,0.8921568627450981,0.8625592417061612,0.8968816442239546
6,0.423971918014442,0.8432432432432433,0.8348623853211009,0.8921568627450981,0.8625592417061612,0.8998346326482399
7,0.4081783121986454,0.8486486486486486,0.8363636363636363,0.9019607843137255,0.8679245283018868,0.9005433498700685
8,0.4027447702081836,0.8540540540540541,0.8378378378378378,0.9117647058823529,0.8732394366197183,0.9014883061658399
9,0.3977489987340103,0.8486486486486486,0.8303571428571429,0.9117647058823529,0.8691588785046729,0.9019607843137254
10,0.3924485110668909,0.8432432432432433,0.8230088495575221,0.9117647058823529,0.8651162790697674,0.9013701866288685
