model,accuracy,precision,recall,f1,roc_auc,epsilon
Non-DP Federated,0.8432432432432433,0.8230088495575221,0.9117647058823528,0.8651162790697674,0.9013701866288684,
DP Federated,0.8216216216216217,0.8415841584158416,0.8333333333333334,0.8374384236453202,0.8851878100637846,21.32253210686986
