Model,Accuracy,Precision,Recall,F1,ROC_AUC
XGBoost (Train),0.876358695652174,0.8798076923076923,0.8992628992628993,0.8894289185905225,0.9387168323338537
XGBoost (Test),0.842391304347826,0.8348623853211009,0.8921568627450981,0.8625592417061612,0.9313725490196079
Random Forest (Train),0.8872282608695652,0.8970588235294118,0.8992628992628993,0.898159509202454,0.9444597955236254
Random Forest (Test),0.8478260869565217,0.8557692307692307,0.8725490196078431,0.8640776699029126,0.9255141080822572
Logistic Regression (Train),0.8315217391304348,0.8656330749354005,0.8230958230958231,0.8438287153652393,0.9043113298432447
Logistic Regression (Test),0.8260869565217391,0.8571428571428571,0.8235294117647058,0.84,0.9139167862266857
